Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region,In USD
11/26/19,41022.85156,41120.28125,40710.19922,40821.30078,40821.30078,32800,India,530.6769101
11/27/19,40979.39063,41075.76172,40848.69922,41020.60938,41020.60938,32400,India,533.2679219
11/28/19,41161.53906,41163.78906,40996.07813,41130.17188,41130.17188,30900,India,534.6922344
11/29/19,41138.26172,41143.21875,40664.17969,40793.80859,40793.80859,46700,India,530.3195117
12/2/19,41072.94141,41093.98828,40707.62891,40802.17188,40802.17188,39800,India,530.4282344
12/3/19,40852.60938,40885.03125,40554.03906,40675.44922,40675.44922,33700,India,528.7808399
12/4/19,40606.01172,40886.87109,40475.82813,40850.28906,40850.28906,44500,India,531.0537578
12/5/19,40988.14063,41002.41016,40720.17188,40779.58984,40779.58984,33000,India,530.1346679
12/6/19,40952.12891,40952.12891,40337.53125,40445.14844,40445.14844,33100,India,525.7869297
12/9/19,40527.23828,40645.62891,40336.55859,40487.42969,40487.42969,32600,India,526.336586
12/10/19,40588.80859,40588.80859,40208.69922,40239.87891,40239.87891,31400,India,523.1184258
12/11/19,40285.19922,40466.12891,40135.37109,40412.57031,40412.57031,55500,India,525.363414
12/12/19,40561.33984,40712.64844,40490.69141,40581.71094,40581.71094,41300,India,527.5622422
12/13/19,40754.82031,41055.80078,40736.69922,41009.71094,41009.71094,27900,India,533.1262422
12/16/19,41168.85156,41185.03125,40917.92969,40938.71875,40938.71875,21600,India,532.2033438
12/17/19,41052.35938,41401.64844,41005.17969,41352.17188,41352.17188,19000,India,537.5782344
12/18/19,41442.75,41614.76953,41358.46875,41558.57031,41558.57031,24300,India,540.261414
12/19/19,41571.82031,41719.28906,41456.39844,41673.92188,41673.92188,33300,India,541.7609844
12/20/19,41746.19922,41809.96094,41636.10938,41681.53906,41681.53906,33600,India,541.8600078
12/23/19,41548.26172,41701.62109,41474.60938,41642.66016,41642.66016,6200,India,541.3545821
12/24/19,41684.51172,41702.98047,41423.07031,41461.26172,41461.26172,4400,India,538.9964024
